,VALID LINKS,TITLE NAMES,INTERNAL LINK,EXTERNAL LINK,TOP20 UNI,TOP20 BI,WEB PAGE SIZE (KB)
56,https://www.exeterpremedia.com/events/,Exeter - Events,True,False,"['2019', 'US', '2018', 'UK', 'SERVICES', 'Us', 'London', 'us', 'About', 'India', 'Contact', 'April', '1214', 'May', '79', 'June', 'Frankfurt', 'careers', 'CONTACT']","[('London', 'UK'), ('Contact', 'Us'), ('US', 'April'), ('2019', 'London'), ('79', '2019'), ('US', 'careers'), ('CONTACT', 'US'), ('NEWS', 'CONTACT'), ('EVENTS', 'NEWS'), ('US', 'EVENTS'), ('ABOUT', 'US'), ('us', 'ABOUT'), ('About', 'us'), ('BLOG', 'About'), ('Resources', 'BLOG'), ('MANAGEMENT', 'Resources'), ('PROJECT', 'MANAGEMENT'), ('DESIGN', 'PROJECT'), ('ARTWORK', 'DESIGN')]",114.79
57,https://www.linkedin.com/feed/hashtag/?keywords=%23DigitalSolution,Sign Up | LinkedIn,False,True,"['LinkedIn', 'Chinese', 'Policy', 'Agree', 'Sign', 'TraditionalLanguage', 'Simplified正體中文', 'Turkish简体中文', 'TagalogTürkçe', 'ThaiTagalog', 'Swedishภาษาไทย', 'RussianSvenska', 'RomanianРусский', 'PortugueseRomână', 'PolishPortuguês', 'NorwegianPolski', 'DutchNorsk', 'MalayNederlands', 'Malaysia']","[('Chinese', 'TraditionalLanguage'), ('Simplified正體中文', 'Chinese'), ('Chinese', 'Simplified正體中文'), ('Turkish简体中文', 'Chinese'), ('TagalogTürkçe', 'Turkish简体中文'), ('ThaiTagalog', 'TagalogTürkçe'), ('Swedishภาษาไทย', 'ThaiTagalog'), ('RussianSvenska', 'Swedishภาษาไทย'), ('RomanianРусский', 'RussianSvenska'), ('PortugueseRomână', 'RomanianРусский'), ('PolishPortuguês', 'PortugueseRomână'), ('NorwegianPolski', 'PolishPortuguês'), ('DutchNorsk', 'NorwegianPolski'), ('MalayNederlands', 'DutchNorsk'), ('Malaysia', 'MalayNederlands'), ('KoreanBahasa', 'Malaysia'), ('Japanese한국어', 'KoreanBahasa'), ('Italian日本語', 'Japanese한국어'), ('IndonesiaItaliano', 'Italian日本語')]",24.49
58,https://www.linkedin.com/feed/hashtag/?keywords=%23AcademicPublishing,Sign Up | LinkedIn,False,True,"['LinkedIn', 'Chinese', 'Policy', 'Agree', 'Sign', 'TraditionalLanguage', 'Simplified正體中文', 'Turkish简体中文', 'TagalogTürkçe', 'ThaiTagalog', 'Swedishภาษาไทย', 'RussianSvenska', 'RomanianРусский', 'PortugueseRomână', 'PolishPortuguês', 'NorwegianPolski', 'DutchNorsk', 'MalayNederlands', 'Malaysia']","[('Chinese', 'TraditionalLanguage'), ('Simplified正體中文', 'Chinese'), ('Chinese', 'Simplified正體中文'), ('Turkish简体中文', 'Chinese'), ('TagalogTürkçe', 'Turkish简体中文'), ('ThaiTagalog', 'TagalogTürkçe'), ('Swedishภาษาไทย', 'ThaiTagalog'), ('RussianSvenska', 'Swedishภาษาไทย'), ('RomanianРусский', 'RussianSvenska'), ('PortugueseRomână', 'RomanianРусский'), ('PolishPortuguês', 'PortugueseRomână'), ('NorwegianPolski', 'PolishPortuguês'), ('DutchNorsk', 'NorwegianPolski'), ('MalayNederlands', 'DutchNorsk'), ('Malaysia', 'MalayNederlands'), ('KoreanBahasa', 'Malaysia'), ('Japanese한국어', 'KoreanBahasa'), ('Italian日本語', 'Japanese한국어'), ('IndonesiaItaliano', 'Italian日本語')]",24.44
59,https://www.linkedin.com/feed/hashtag/?keywords=%23Exeter,Sign Up | LinkedIn,False,True,"['LinkedIn', 'Chinese', 'Policy', 'Agree', 'Sign', 'TraditionalLanguage', 'Simplified正體中文', 'Turkish简体中文', 'TagalogTürkçe', 'ThaiTagalog', 'Swedishภาษาไทย', 'RussianSvenska', 'RomanianРусский', 'PortugueseRomână', 'PolishPortuguês', 'NorwegianPolski', 'DutchNorsk', 'MalayNederlands', 'Malaysia']","[('Chinese', 'TraditionalLanguage'), ('Simplified正體中文', 'Chinese'), ('Chinese', 'Simplified正體中文'), ('Turkish简体中文', 'Chinese'), ('TagalogTürkçe', 'Turkish简体中文'), ('ThaiTagalog', 'TagalogTürkçe'), ('Swedishภาษาไทย', 'ThaiTagalog'), ('RussianSvenska', 'Swedishภาษาไทย'), ('RomanianРусский', 'RussianSvenska'), ('PortugueseRomână', 'RomanianРусский'), ('PolishPortuguês', 'PortugueseRomână'), ('NorwegianPolski', 'PolishPortuguês'), ('DutchNorsk', 'NorwegianPolski'), ('MalayNederlands', 'DutchNorsk'), ('Malaysia', 'MalayNederlands'), ('KoreanBahasa', 'Malaysia'), ('Japanese한국어', 'KoreanBahasa'), ('Italian日本語', 'Japanese한국어'), ('IndonesiaItaliano', 'Italian日本語')]",24.36
60,https://www.exeterpremedia.com/wp-content/uploads/2019/06/sage-publishing.webp,N/A,True,False,['NULL'],['NULL'],11.62
61,https://www.linkedin.com/feed/hashtag/?keywords=%23Fbf19,Sign Up | LinkedIn,False,True,"['LinkedIn', 'Chinese', 'Policy', 'Agree', 'Sign', 'TraditionalLanguage', 'Simplified正體中文', 'Turkish简体中文', 'TagalogTürkçe', 'ThaiTagalog', 'Swedishภาษาไทย', 'RussianSvenska', 'RomanianРусский', 'PortugueseRomână', 'PolishPortuguês', 'NorwegianPolski', 'DutchNorsk', 'MalayNederlands', 'Malaysia']","[('Chinese', 'TraditionalLanguage'), ('Simplified正體中文', 'Chinese'), ('Chinese', 'Simplified正體中文'), ('Turkish简体中文', 'Chinese'), ('TagalogTürkçe', 'Turkish简体中文'), ('ThaiTagalog', 'TagalogTürkçe'), ('Swedishภาษาไทย', 'ThaiTagalog'), ('RussianSvenska', 'Swedishภาษาไทย'), ('RomanianРусский', 'RussianSvenska'), ('PortugueseRomână', 'RomanianРусский'), ('PolishPortuguês', 'PortugueseRomână'), ('NorwegianPolski', 'PolishPortuguês'), ('DutchNorsk', 'NorwegianPolski'), ('MalayNederlands', 'DutchNorsk'), ('Malaysia', 'MalayNederlands'), ('KoreanBahasa', 'Malaysia'), ('Japanese한국어', 'KoreanBahasa'), ('Italian日本語', 'Japanese한국어'), ('IndonesiaItaliano', 'Italian日本語')]",24.47
62,https://www.exeterpremedia.com,Exeter - Happy Authors and Delighted Publishers,True,False,"['Exeter', 'Premedia', 'Service', 'Kriya', 'us', 'Happy', 'US', 'Us', 'HappyAuthors', 'ExeterPremedia', 'More', 'SERVICES', 'Authors', 'Contact', 'UK', 'India', 'employees', '2019', 'Services']","[('Exeter', 'Premedia'), ('Service', 'Exeter'), ('Premedia', 'Service'), ('Kriya', 'HappyAuthors'), ('Happy', 'Authors'), ('Contact', 'Us'), ('Premedia', 'Exeter'), ('Markup', 'UK'), ('Independence', 'Day'), ('ExeterPremedia', 'Kriya'), ('Exeter', 'Kriya'), ('ExeterPremedia', 'Exeter'), ('2018Read', 'More'), ('Kriya', 'cloudbased'), ('US', 'careers'), ('CONTACT', 'US'), ('NEWS', 'CONTACT'), ('EVENTS', 'NEWS'), ('US', 'EVENTS')]",157.7
63,https://www.exeterpremedia.com/services/,Exeter - Services,True,False,"['services', 'Services', 'We', 'publishers', 'Design', 'Our', 'content', 'authors', 'books', 'Exeters', 'Adobe', 'XML', 'Artwork', 'Data', 'US', 'illustrations', 'based', 'ensure', 'text']","[('Artwork', 'Design'), ('Project', 'Management'), ('Data', 'Services'), ('Editorial', 'Services'), ('books', 'journals'), ('Design', 'services'), ('page', 'composition'), ('turnaround', 'times'), ('authors', 'publishers'), ('Services', 'Artwork'), ('Services', 'Data'), ('Contact', 'Us'), ('editors', 'proofreaders'), ('Corel', 'Draw'), ('Adobe', 'Illustrator'), ('Photoshop', 'Adobe'), ('Adobe', 'Photoshop'), ('extensive', 'experience'), ('Services', 'We')]",126.92
64,https://www.linkedin.com/feed/hashtag/?keywords=%23MarkupUK2019,Sign Up | LinkedIn,False,True,"['LinkedIn', 'Chinese', 'Policy', 'Agree', 'Sign', 'TraditionalLanguage', 'Simplified正體中文', 'Turkish简体中文', 'TagalogTürkçe', 'ThaiTagalog', 'Swedishภาษาไทย', 'RussianSvenska', 'RomanianРусский', 'PortugueseRomână', 'PolishPortuguês', 'NorwegianPolski', 'DutchNorsk', 'MalayNederlands', 'Malaysia']","[('Chinese', 'TraditionalLanguage'), ('Simplified正體中文', 'Chinese'), ('Chinese', 'Simplified正體中文'), ('Turkish简体中文', 'Chinese'), ('TagalogTürkçe', 'Turkish简体中文'), ('ThaiTagalog', 'TagalogTürkçe'), ('Swedishภาษาไทย', 'ThaiTagalog'), ('RussianSvenska', 'Swedishภาษาไทย'), ('RomanianРусский', 'RussianSvenska'), ('PortugueseRomână', 'RomanianРусский'), ('PolishPortuguês', 'PortugueseRomână'), ('NorwegianPolski', 'PolishPortuguês'), ('DutchNorsk', 'NorwegianPolski'), ('MalayNederlands', 'DutchNorsk'), ('Malaysia', 'MalayNederlands'), ('KoreanBahasa', 'Malaysia'), ('Japanese한국어', 'KoreanBahasa'), ('Italian日本語', 'Japanese한국어'), ('IndonesiaItaliano', 'Italian日本語')]",24.38
65,https://www.linkedin.com/feed/hashtag/?keywords=%23SVCE,Sign Up | LinkedIn,False,True,"['LinkedIn', 'Chinese', 'Policy', 'Agree', 'Sign', 'TraditionalLanguage', 'Simplified正體中文', 'Turkish简体中文', 'TagalogTürkçe', 'ThaiTagalog', 'Swedishภาษาไทย', 'RussianSvenska', 'RomanianРусский', 'PortugueseRomână', 'PolishPortuguês', 'NorwegianPolski', 'DutchNorsk', 'MalayNederlands', 'Malaysia']","[('Chinese', 'TraditionalLanguage'), ('Simplified正體中文', 'Chinese'), ('Chinese', 'Simplified正體中文'), ('Turkish简体中文', 'Chinese'), ('TagalogTürkçe', 'Turkish简体中文'), ('ThaiTagalog', 'TagalogTürkçe'), ('Swedishภาษาไทย', 'ThaiTagalog'), ('RussianSvenska', 'Swedishภาษาไทย'), ('RomanianРусский', 'RussianSvenska'), ('PortugueseRomână', 'RomanianРусский'), ('PolishPortuguês', 'PortugueseRomână'), ('NorwegianPolski', 'PolishPortuguês'), ('DutchNorsk', 'NorwegianPolski'), ('MalayNederlands', 'DutchNorsk'), ('Malaysia', 'MalayNederlands'), ('KoreanBahasa', 'Malaysia'), ('Japanese한국어', 'KoreanBahasa'), ('Italian日本語', 'Japanese한국어'), ('IndonesiaItaliano', 'Italian日本語')]",24.34
